ï»¿ID,Target,Tweet,Stance
"
31",Atheism,know accident divine providence tcot pjnet ccot christian semst,AGAINST
"
32",Atheism,addicted light everywhere look feel halo pray fade away semst,AGAINST
"
33",Atheism,faith see beyond difficulty count god colon smith semst,AGAINST
"
34",Atheism,watch dame lillard bring blazer playoff beast semst,AGAINST
"
35",Atheism,irish national school system secular law reaffirm secularism going court humanismireland semst,AGAINST
"
36",Atheism,often talk unbelief affliction pitied instead crime condemned charles spurgeon god semst,AGAINST
"
37",Atheism,currently piece logical fallacy blog weebly philosophy logicism blog humanist semst,AGAINST
"
38",Atheism,proud teamjinnah bhutto imran jinnah pakistan inclusive semst,AGAINST
"
39",Atheism,great baptism service woodgreen moving story people faith rich lacey semst,AGAINST
"
40",Atheism,religious holiday public rightsandrecourse transformation semst,AGAINST
"
41",Atheism,officiate humanist nonreligious wedding starting ask student discount celebrant wedding semst,AGAINST
"
42",Atheism,rt br holden religion perfectly happy peddle afterlife actually exist freethinker semst,AGAINST
"
43",Atheism,rt br holden superstition based thought tend wasted thought freethinker semst,AGAINST
"
44",Atheism,rt br holden say superstitious thought general religion particular freethinker semst,AGAINST
"
45",Atheism,rt br holden atheist every right exist public sphere freethinker semst,AGAINST
"
46",Atheism,rt gmhumanistchoir currently looking new member join choir welcome audition rt choir manchest semst,AGAINST
"
47",Atheism,rowdman atheist offended christian symbol forced belong semst,AGAINST
"
48",Atheism,word given life p semst,AGAINST
"
49",Atheism,god give u right want long understand outcome action spiritual semst,AGAINST
"
50",Atheism,deeper go deeper silence peace healing clarity vision belief deeper semst,AGAINST
"
51",Atheism,james kjv every man tempted drawn away lust enticed god lord christ holy spirit semst,AGAINST
"
52",Atheism,human human nature eat drink destitute fuck raw kill semst,AGAINST
"
53",Atheism,ladylydiad become father realize important person room anymore child semst,AGAINST
"
54",Atheism,near told preach name act salvation else nlt dcm semst,AGAINST
"
55",Atheism,really build relationship relate understand god emunah semst,AGAINST
"
56",Atheism,human look forward extinction humanity eager anticipation deserve nothing le semst,AGAINST
"
57",Atheism,faith receive christ u repent show received repentance atonement semst,AGAINST
"
58",Atheism,let fear come upon every soul city act semst,AGAINST
"
59",Atheism,related news boko haram killed people last hr semst,NONE
"
60",Atheism,join periscope f entrepreneurship productivity christianentrepreneurs semst,AGAINST
"
61",Atheism,praise thank god everything life today grateful semst,AGAINST
"
62",Atheism,jesus present impossible situation environment remain desolate place joy victory newthings sontalk semst,AGAINST
"
63",Atheism,heaven earth pas away word pas away matthew tworship semst,AGAINST
"
64",Atheism,crownfmradio however impossible may sound really would loved like lord haveyoursay semst,AGAINST
"
65",Atheism,imagine specie split atom ventured space yet still believe magic man created everything magic semst,FAVOR
"
66",Atheism,job said thing greatly feared come upon afraid happened job fear open door semst,AGAINST
"
67",Atheism,jesus helper help rest trust finished work cross amen semst,AGAINST
"
68",Atheism,lord pleased w every effort even tiny daily one strive like ezra taft benson lds inspiration semst,AGAINST
"
69",Atheism,want live healer must willing change place hurting god semst,AGAINST
"
70",Atheism,heb man offered one sacrifice sin ever sat right hand god bible semst,AGAINST
"
71",Atheism,religious moderation product secular knowledge scriptural ignorance samharrisorg semst,AGAINST
"
72",Atheism,remember god worked semst,AGAINST
"
73",Atheism,define world existentialism spirituality semst,AGAINST
"
74",Atheism,yeah think maybe word stopped mattering semst,NONE
"
75",Atheism,keep flowinz az da windz blend bend never break semst,NONE
"
76",Atheism,vicgreenaway hot air balloon pilot look horizon rise rather horizon always eye level semst,NONE
"
77",Atheism,narendramodi pmoindia politician office offer iftikar party waste tax payer money semst,NONE
"
78",Atheism,better chill retweets semst,NONE
"
79",Atheism,want give world hug huge huge hug human thofjuly everyone planetearth semst,NONE
"
80",Atheism,son wise make heart glad may answer reproacheth proverb semst,AGAINST
"
81",Atheism,great time worship rehearsal cant wait till sunday bridgechurch bridgelaunchteam willacycounty weloveyou semst,AGAINST
"
82",Atheism,godless mom like jesus reduced appearing toast photoshopped image still praise semst,FAVOR
"
83",Atheism,godless mom stereotypemepls flypastafarian come u never talk guy raped daughter year por exemplo semst,NONE
"
84",Atheism,hindu pay muslim subsidy haj need security muslim visit temple amarnath yatra hindusunderattack semst,NONE
"
85",Atheism,greatest tragedy life prayer go unanswered go unasked ghlondon semst,AGAINST
"
86",Atheism,faithmattersuk could use religion belief excuse murder hate tmurder semst,FAVOR
"
87",Atheism,become worship intentional choosing worship become worship semst,AGAINST
"
88",Atheism,steppin faith love safe pleasant day tweeple blessed love happyday semst,AGAINST
"
89",Atheism,end earth call heart faint lead rock higher psalm nasb heishigher semst,AGAINST
"
90",Atheism,father active goodness unrestricted love ruthless trust manning lord may forever trust love semst,AGAINST
"
91",Atheism,best feeling think semst,NONE
"
92",Atheism,bind wound whose cry come god rising like tide whose hope alone grace semst,AGAINST
"
93",Atheism,jesus wish nothing thy holy saint philip neri catholic semst,AGAINST
"
94",Atheism,bjpscams ani news election nearing bihar tn may sickularism sorry semst,NONE
"
95",Atheism,jer lord like mighty warrior persecutor stumble prevail god love semst,AGAINST
"
96",Atheism,accepting religion pulling big fuzz ball superstition brain freethinker semst,FAVOR
"
97",Atheism,opposed medium portrays pope religious wacko like still support bigotry misogyny semst,FAVOR
"
98",Atheism,one nation knee blowjob semen heaven betsy religionisbullshit fyilive semst,FAVOR
"
99",Atheism,nation great god near way lord god near u whenever pray eritrea semst,AGAINST
"
100",Atheism,pray eye god difficulty request godanswersprayers semst,AGAINST
"
101",Atheism,enough sneaking around bringing religious group abed public school access kid secrecy parent sexed semst,FAVOR
"
102",Atheism,maisie williams everyone feel way time woman semst,NONE
"
103",Atheism,scotus done time boyscouts stop bigoted practice rejecting lgbt scout age equalityforall semst,NONE
"
104",Atheism,subtract secularism modern system superstition left ancient anarchy archaic theocracy semst,FAVOR
"
105",Atheism,mark kjv shall profit man shall gain whole world lose soul pray love semst,AGAINST
"
106",Atheism,would listen someone anything better life compared successful millionaire donaldtrump acn semst,NONE
"
107",Atheism,question religious folk comprehend universe began without god god come semst,FAVOR
"
108",Atheism,evrttbrd precious omg go get em europe jesus awakeningeurope benfitz bethel paulyman heidsbakes father jc abba semst,AGAINST
"
109",Atheism,government country secular world would much different probably better place realising semst,FAVOR
"
110",Atheism,deal christian people always needing feel like persecuted religiousfreedom tcot semst,FAVOR
"
111",Atheism,scientist fantasize bug considering god thelupol theism futurism singularity ancientaliens semst,AGAINST
"
112",Atheism,irony creationist tweet science wrong device existed without semst,FAVOR
"
113",Atheism,never debate devil give instruction get behind semst,AGAINST
"
114",Atheism,existing something god never proficient semst,FAVOR
"
115",Atheism,beginning wonder rev mark buying selling relevant ala corporation behavior civil war game etc bible semst,AGAINST
"
116",Atheism,rt xo nayelashay love gospel music heals soul lift spirit clear mind make appreciate semst,AGAINST
"
117",Atheism,mark father anything scaring hindering good coming way lord let disappear rccgtr semst,AGAINST
"
118",Atheism,pseud anon suhaibsaqib true raising awareness compassion goal semst,NONE
"
119",Atheism,hemamalini please think twice giving statement couple lost kid please show semst,NONE
"
120",Atheism,come insanity oh wait believe sky god fyilive semst,FAVOR
"
121",Atheism,jaikrishnashree italianchachi udf ldf made kerala backward southern state cluelss hindu keep voting marxism semst,NONE
"
122",Atheism,surely sovereign lord nothing without revealing plan servant prophet amos v semst,AGAINST
"
123",Atheism,loving today awesome enjoyed nobody steal joy selflove motivated semst,NONE
"
124",Atheism,proverb kjv evil men understand judgment seek lord understand thing heart semst,AGAINST
"
125",Atheism,always please remember fuck harper fuck conservative fuck religion fuckharper ndp fuckcons semst,FAVOR
"
126",Atheism,prayer live long want want long live longlife semst,AGAINST
"
127",Atheism,believe sacred ap term describe existence celebrant semst,AGAINST
"
128",Atheism,man going test giving prayer question lord savior jesus christ guide hope semst,AGAINST
"
129",Atheism,like welcome lucy dee atheist apocalypse team may god mercy soul god mercy podcast semst,AGAINST
"
130",Atheism,life certainly way humbling last year half filled trial tribulation god patience semst,AGAINST
"
131",Atheism,check honest liar netflix james randi amazing skeptic semst,NONE
"
132",Atheism,experience lgbt people show organised religion often nothing structured bullying semst,FAVOR
"
133",Atheism,reminder human need salvation need clean water food housing healthcare education semst,FAVOR
"
134",Atheism,jesus dead real notdead semst,FAVOR
"
135",Atheism,sensanders god loving unconditionally matter semst,AGAINST
"
136",Atheism,saberinze thebricspost absurd like saying nato membership help russia pakistan islamist friend india semst,NONE
"
137",Atheism,lord bring health cure every area life give abundance peace jer semst,AGAINST
"
138",Atheism,love loved god loved u sent son atoning sacrifice sin john love semst,AGAINST
"
139",Atheism,islamicscholars think research single vital point pakistan islam holyquran hadith semst,AGAINST
"
140",Atheism,rt paulgetter past call answer nothing new say teamjesus semst,AGAINST
"
141",Atheism,hindu girl sheila munni muslim razia time christian mary item song world bollywood semst,AGAINST
"
142",Atheism,enemy muslim christian judaism real enemy extremism human killing human respectbeliefs stopwar semst,AGAINST
"
143",Atheism,john good shepherd good shepherd lay life sheep god christ hallelujah amen semst,AGAINST
"
144",Atheism,really incredible much world need work missionary futuremissionary lds hope shallnotfear semst,AGAINST
"
145",Atheism,luke oh lord avenge adversary pstpeterock empowermentservice semst,AGAINST
"
146",Atheism,god brought bring godknows whathedoing bepatient trustandbelieve semst,AGAINST
"
147",Atheism,proceed direction prayer lead follow fail startup thinkandgrowrich semst,AGAINST
"
148",Atheism,people walk darkness see great light live dark land light shine isaiah semst,AGAINST
"
149",Atheism,sing unto lord hath done excellent thing known earth isaiah blessing semst,AGAINST
"
150",Atheism,gift god live day responsibly without regret amwriting parenting amreading christianity sport semst,AGAINST
"
151",Atheism,azerbaijan pray president ilham aliyev salvation vom pray semst,AGAINST
"
152",Atheism,church hospital doctor one christ semst,AGAINST
"
153",Atheism,give u gift grace vessel amen semst,AGAINST
"
154",Atheism,big picture religion bad society blunts reason freethinker semst,FAVOR
"
155",Atheism,get distinction half module started studying day shoot thank father semst,NONE
"
156",Atheism,religion destroyed ability say know semst,FAVOR
"
157",Atheism,pray best everybody semst,AGAINST
"
158",Atheism,brasilmagic neiltyson god b tired tired ppl believing nonsense time focus reality humanity semst,FAVOR
"
159",Atheism,dream desire god placed heartthey part divine destiny semst,AGAINST
"
160",Atheism,muhammadali except belief allah god imaginary love humanity real love well take care semst,FAVOR
"
161",Atheism,part parcel everything else embrace spirituality semst,AGAINST
"
162",Atheism,needed god something happen say god capable thing god created trinity semst,AGAINST
"
163",Atheism,holy mary mother god pray u sinner hour death amen rosary teamjesus god semst,AGAINST
"
164",Atheism,heap mischief upon spend arrow upon deut semst,AGAINST
"
165",Atheism,shit stop thing question god semst,AGAINST
"
166",Atheism,never afraid never apologise using word god analogy explain something setting semst,AGAINST
"
167",Atheism,soon think wwiii wwwiv begin u tedwestand endracism endreligion endsexism endmisogyny loveyourneighbor semst,FAVOR
"
168",Atheism,humble trust god whoever lean trust confident lord happy blessed fortunate semst,AGAINST
"
169",Atheism,newhorizons fly pluto newhorizons plutoflyby pluto endracism endsexism endreligion peace semst,FAVOR
"
170",Atheism,one woo god woo department claudia may godisloveislove blacklives semst,AGAINST
"
171",Climate Change is a Real Concern,closed door session begin decide entity gcf semst,NONE
"
172",Climate Change is a Real Concern,energiewende agenda de carbonizer camp long tolerate lie semst,FAVOR
"
173",Climate Change is a Real Concern,climasphere stocker fish catch potential could drop much area due oceanacidification cfcc semst,FAVOR
"
174",Climate Change is a Real Concern,longer memory sterner sense justice w berry semst,NONE
"
175",Climate Change is a Real Concern,boni future sea level rise uniform different coast ccfc journey semst,FAVOR
"
176",Climate Change is a Real Concern,climasphere bony extreme weather event heat wave drought flooding windstorm made frequent intense cfcc semst,FAVOR
"
177",Climate Change is a Real Concern,camille parmesan specie changed habitat h cfcc semst,FAVOR
"
178",Climate Change is a Real Concern,meta analysis show specie changed live changed live camille parmesan cfcc semst,FAVOR
"
179",Climate Change is a Real Concern,literarly took minute get bus old lady go front everyone semst,NONE
"
180",Climate Change is a Real Concern,grubb state energy shift u eu net producer net importer emission ccfc journey semst,FAVOR
"
181",Climate Change is a Real Concern,putting neck regard dion peace gm democracy transparency future semst,NONE
"
182",Climate Change is a Real Concern,grow food lawn lawn ecocide yard patriarchy ecocide specie dominoeffect semst,FAVOR
"
183",Climate Change is a Real Concern,halcyon summer climate move doug kelbaugh cnu declarationsignee semst,FAVOR
"
184",Climate Change is a Real Concern,soundofideas talk new normal semst,NONE
"
185",Climate Change is a Real Concern,moment canadian realised global warming equal tropical vacation bcwildfire canadaburns semst,FAVOR
"
186",Climate Change is a Real Concern,need alternative fossilfuel also need maintain economy change gradual let start semst,FAVOR
"
187",Climate Change is a Real Concern,defrance displacement due natural disaster higher caused conflict migration development cfcc semst,FAVOR
"
188",Climate Change is a Real Concern,loic yes stop killing animal reason become vegan stopfamine behealthy semst,NONE
"
189",Climate Change is a Real Concern,inherit earth parent borrow child conservation perspective semst,FAVOR
"
190",Climate Change is a Real Concern,vj potus yay love convert solar power pg e plan raise rate actonclimate p semst,FAVOR
"
191",Climate Change is a Real Concern,rsaeconomy tax surely play greater role helping richer country slow emission poor country transition semst,FAVOR
"
192",Climate Change is a Real Concern,address climate change sustainable development measure cfigueres sdgs climateaction cop semst,FAVOR
"
193",Climate Change is a Real Concern,rachelnotley plan getting job creating big green energy corp located alberta taxbreaks job semst,FAVOR
"
194",Climate Change is a Real Concern,mission climate home purchase renewable power utility avekathleen tip impactisreal semst,FAVOR
"
195",Climate Change is a Real Concern,normal rain anymore always storm heavy flooding semst,FAVOR
"
196",Climate Change is a Real Concern,alanbrownsnp h much damage local community environment use fuel regular train semst,FAVOR
"
197",Climate Change is a Real Concern,western canada burn harper got head deep tarsands see christyclark ankle bcwildfire cdnpoli semst,NONE
"
198",Climate Change is a Real Concern,also ridiculous weather raining morning like super hot weatherproblems lame semst,FAVOR
"
199",Climate Change is a Real Concern,thewayneking ricksantorum hardball hardball chris value heusing ref criminal safety check weaponsaddressing semst,NONE
"
200",Climate Change is a Real Concern,eager learn modern prosperity event hfxpublib hosted ecologyaction carbonpricing jobsjusticeclimate semst,FAVOR
"
201",Climate Change is a Real Concern,carbontrading quebec ambitious ghg reduction target nspoli semst,FAVOR
"
202",Climate Change is a Real Concern,jiminhofe anthropogenicthat caused human snowballjim semst,FAVOR
"
203",Climate Change is a Real Concern,scale air quality whistler wildfire bcwildfire semst,FAVOR
"
204",Climate Change is a Real Concern,catethegreat yes catherine future human civilisation depends generation act auspol semst,FAVOR
"
205",Climate Change is a Real Concern,exciting witness major development urgenda semst,NONE
"
206",Climate Change is a Real Concern,causing ice mass earth melt alarming rate semst,FAVOR
"
207",Climate Change is a Real Concern,sam research irrelevant biosphere brink collapse deforestation thextinction war semst,FAVOR
"
208",Climate Change is a Real Concern,turn liverpool plain coal mine bad idea government like foodbowl shenhua auspol semst,FAVOR
"
209",Climate Change is a Real Concern,cbsnewyork seems marine animal finally declaring war man due man made environmental destruction semst,FAVOR
"
210",Climate Change is a Real Concern,seems may yet get climate apocalypse fucking moron shenhua lnpfail keepitintheground semst,FAVOR
"
211",Climate Change is a Real Concern,weather app keep taunting u rain pnw drought semst,NONE
"
212",Climate Change is a Real Concern,help reverse climate change tweet tip inspire others tip savepolarbear semst,FAVOR
"
213",Climate Change is a Real Concern,know thing pretty control happy degree c indoor feel good semst,FAVOR
"
214",Climate Change is a Real Concern,moved inch since yesterday bcpoli vancouver bcwildfire yvr realrenewables semst,NONE
"
215",Climate Change is a Real Concern,moving summer season life move climate weatherchange rain forecast wind semst,FAVOR
"
216",Climate Change is a Real Concern,climate change issue make zim semst,FAVOR
"
217",Climate Change is a Real Concern,mission climate home let heat escape house long period tip earthrightnow semst,FAVOR
"
218",Climate Change is a Real Concern,counting day phd start tephrochronology southernhemisphere chronology oxford semst,NONE
"
219",Climate Change is a Real Concern,today europe breaking heat record asia breaking lowest temperature record concerned semst,FAVOR
"
220",Climate Change is a Real Concern,paul leadley talking biodiversity scenario h cfcc semst,FAVOR
"
221",Climate Change is a Real Concern,dhakal silver bullet solution city devise local specific response cfcc semst,FAVOR
"
222",Climate Change is a Real Concern,follow climatparis information cfcc climate change conference paris semst,FAVOR
"
223",Climate Change is a Real Concern,catholic pope spot come climate change protecting amazon forest semst,FAVOR
"
224",Climate Change is a Real Concern,food water security intertwined adaptation cost water cfcc journey l semst,FAVOR
"
225",Climate Change is a Real Concern,july degree imagine winter going feel like year chicagoweather semst,FAVOR
"
226",Climate Change is a Real Concern,adaptation something reduces negative impact enhances positive impact cfcc journey semst,FAVOR
"
227",Climate Change is a Real Concern,mapsprogramme tackle difficult challenge growth need unemployment alongside cfcc semst,FAVOR
"
228",Climate Change is a Real Concern,much good lead cop researcher country uniting address global cfcc semst,FAVOR
"
229",Climate Change is a Real Concern,earth finite nature environment amount dividend value buy natural diversity back semst,FAVOR
"
230",Climate Change is a Real Concern,obama said prevent oil exploration completely arctic setting highest possible standard b shellno semst,FAVOR
"
231",Climate Change is a Real Concern,richardtuffin tuvalu forefront dealing consequence climate change realist auspol semst,FAVOR
"
232",Climate Change is a Real Concern,good discussion ruth valerio arochauk premier radio revcindy key issue affecting u pope encyclical semst,NONE
"
233",Climate Change is a Real Concern,kind earth beneath foot environment semst,FAVOR
"
234",Climate Change is a Real Concern,also raining brazilian central savanna supposed pinnacle dry season semst,FAVOR
"
235",Climate Change is a Real Concern,avg house u consumes kwh per year gore devoured nearly kwh x nat average onpoli semst,FAVOR
"
236",Climate Change is a Real Concern,please someone bbcradio clarify osbourne said oil renewables energy budget futureoftheplanet semst,FAVOR
"
237",Climate Change is a Real Concern,participation essential bring vulnerable voice table cop say wjamann agcop cfcc cgiarclimate semst,FAVOR
"
238",Climate Change is a Real Concern,blame city majority co emission without acknowledging vulnerability cfcc journey semst,FAVOR
"
239",Climate Change is a Real Concern,jimharris thank follow jim flattered semst,NONE
"
240",Climate Change is a Real Concern,davidsuzukifdn cleanenergycan need hydro bill fix ppl use dirty alt fuel heat home foodorheat onpoli semst,FAVOR
"
241",Climate Change is a Real Concern,asthma hitting community hard chicago say lvejo kim wasserman cleanair kid latino semst,FAVOR
"
242",Climate Change is a Real Concern,extreme humidity heat right might kill floridaproblems semst,FAVOR
"
243",Climate Change is a Real Concern,iluvco ungeneva wmonews pariscop u love co understand point view u n know trigger semst,FAVOR
"
244",Climate Change is a Real Concern,seen mountain day fire stand breathing air quality longer semst,FAVOR
"
245",Climate Change is a Real Concern,ucsusa potus nscpress dhsgov nytimes criminal capitalist wrecked economy misleadinginvestors risk ecocide semst,FAVOR
"
246",Climate Change is a Real Concern,ucsusa pmharper thomasmulcair kathleen wynne csota fossilfuels corp misleading investor liability ecocide semst,FAVOR
"
247",Climate Change is a Real Concern,gone day would get temperature min max cape town semst,FAVOR
"
248",Climate Change is a Real Concern,mission climate home run dishwasher full gaiam tip actonclimate semst,FAVOR
"
249",Climate Change is a Real Concern,stock market froze summer semst,NONE
"
250",Climate Change is a Real Concern,living unexamined life may easier lead disastrous consequence actonclimate action leadership semst,FAVOR
"
251",Climate Change is a Real Concern,stormchaser middleamericams noaa hottest year record look like going break record semst,FAVOR
"
252",Climate Change is a Real Concern,climate change denier like pre historic cave dweller california governor jerry brown csota uspoli cdnpoli semst,FAVOR
"
253",Climate Change is a Real Concern,happened sunny colorado cloudy denver nosunshine semst,FAVOR
"
254",Climate Change is a Real Concern,biggest terror threat world climate change drought flood semst,FAVOR
"
255",Climate Change is a Real Concern,sensanders republican care environment together deny fact semst,FAVOR
"
256",Climate Change is a Real Concern,xrisham reminds nottingham early actonclimate semst,FAVOR
"
257",Climate Change is a Real Concern,blueislandcity jason berry say discus would buy big pipe maybe work w resilientchicago semst,NONE
"
258",Climate Change is a Real Concern,follow skymutual u leader weather riskmanagement helping world economy adapt climate change semst,FAVOR
"
259",Climate Change is a Real Concern,csota trending canada twitter w tweet climate summit america sm socialmedia semst,FAVOR
"
260",Climate Change is a Real Concern,stephen harper representative costa care environment cdnpoli environment semst,FAVOR
"
261",Climate Change is a Real Concern,rt theclf thanks everyone maine contacted legislator support energyefficiency funding mepoli semst,FAVOR
"
262",Climate Change is a Real Concern,committed green dream govinslee drive change power parent grandparent csota semst,FAVOR
"
263",Climate Change is a Real Concern,un spokesperson france un cop norwaymfa last generation address climate change semst,FAVOR
"
264",Climate Change is a Real Concern,july th clean clothes put jean though semst,NONE
"
265",Climate Change is a Real Concern,water hole time drink rt vicenews semst,NONE
"
266",Climate Change is a Real Concern,mckenzieamanda presentation shifting public narrative hostile environment good anzca semst,NONE
"
267",Climate Change is a Real Concern,degree fahrenheit july th love weather puremichigan semst,NONE
"
268",Climate Change is a Real Concern,coalmining destruction ability live earth stupid kill specie habitat duh shenhua semst,FAVOR
"
269",Climate Change is a Real Concern,abcnews ginger zee give two sentence climate instead ending b whale story semst,FAVOR
"
270",Climate Change is a Real Concern,billmckibben suzyji right big tobacco playbook disgusting strategy bulletproof semst,NONE
"
271",Climate Change is a Real Concern,guardianaus grogsgamut nobody denies climate change semst,FAVOR
"
272",Climate Change is a Real Concern,people need wake realize happening earth hello semst,FAVOR
"
273",Climate Change is a Real Concern,questiontime likely solve problem related poverty sustainability government religion business semst,NONE
"
274",Climate Change is a Real Concern,country likely survive climate change one infographic survive infographic semst,FAVOR
"
275",Climate Change is a Real Concern,terraform earth recolonize home semst,FAVOR
"
276",Climate Change is a Real Concern,climate change already cut global food supply fuelling war natural disaster foodfactswithheroradio semst,FAVOR
"
277",Climate Change is a Real Concern,myrmecos still larval theory still poorly modelled still unquantified still multi factor still flummoxed albedo semst,AGAINST
"
278",Climate Change is a Real Concern,whole specie boomer generationx generationy genz need vacation year greek island anyone humanextinction semst,FAVOR
"
279",Climate Change is a Real Concern,mission climate road fly le tip earthrightnow semst,FAVOR
"
280",Climate Change is a Real Concern,humanity making mother earth angry angriness reason semst,FAVOR
"
281",Climate Change is a Real Concern,weetfevents jonathan tillson defragovuk highlight economic stability undermined semst,NONE
"
282",Climate Change is a Real Concern,uk home building need adapted higher temperature daniel john thecccuk weetfevents adaptation semst,FAVOR
"
283",Climate Change is a Real Concern,plant tree make oxygen breathe killing rainforest make earth oxygen supply weak earth semst,FAVOR
"
284",Climate Change is a Real Concern,climate denier term used silence pointing hypocrisy fanatical zeal climatetruth semst,AGAINST
"
285",Climate Change is a Real Concern,mission climate road purchase fuel efficient low greenhouse gas vehicle epa tip missionaccept semst,FAVOR
"
286",Climate Change is a Real Concern,algore change reason good cheer going win csota semst,FAVOR
"
287",Climate Change is a Real Concern,incredibly moving scientist weeps bbcradio ocean grandchild future ttp bbc g uil semst,FAVOR
"
288",Climate Change is a Real Concern,following invitation climate summit america online via twitter csota toronto environment cop climate semst,FAVOR
"
289",Climate Change is a Real Concern,voice younger generation represented csota say collective future environment cop semst,FAVOR
"
290",Climate Change is a Real Concern,walshconstco proud sign orbizclimatedeclaration committed fighting climate change semst,FAVOR
"
291",Climate Change is a Real Concern,remember time summer actually summer know sunny degree everyday whatshappening semst,FAVOR
"
292",Climate Change is a Real Concern,neiltyson rettet die erde save earth semst,FAVOR
"
293",Climate Change is a Real Concern,wattsupwiththat yes ironic alarmist actual denier semst,AGAINST
"
294",Climate Change is a Real Concern,justintrudeau hey justin give cent stop talking climate change ottawa davidsuzuki cbc semst,AGAINST
"
295",Climate Change is a Real Concern,epa potus follow scotus anyone else climatefraud specialreport wakeupamerica semst,AGAINST
"
296",Climate Change is a Real Concern,govt announcement zero carbon home short sighted unnecessary retrograde damaging say ukgbc energyefficiency semst,AGAINST
"
297",Climate Change is a Real Concern,bbcweather good see global awareness thanks semst,FAVOR
"
298",Climate Change is a Real Concern,killing earth earth worse fine human suffocate drown starve semst,AGAINST
"
299",Climate Change is a Real Concern,sea level rise meter mean mean ft current height semst,FAVOR
"
300",Climate Change is a Real Concern,agent fantasy negligence collusion criminal corporation acting negligence ecocide semst,FAVOR
"
301",Climate Change is a Real Concern,need government corporation respond ordinary people change daily habit consume le semst,FAVOR
"
302",Climate Change is a Real Concern,dont capacity take act increase capacity connection compassion semst,NONE
"
303",Climate Change is a Real Concern,mission climate home take shower instead bath tip loveourplanet semst,FAVOR
"
304",Climate Change is a Real Concern,thing man made global warming false narrative wakeupamerica boycottsanfrancisco election semst,AGAINST
"
305",Climate Change is a Real Concern,evamartino everyone learn recipe given summer going get warmer every year semst,FAVOR
"
306",Climate Change is a Real Concern,rec high temp date charlotte set model worst dangerous emission semst,FAVOR
"
307",Climate Change is a Real Concern,lot time class nationaljournal semst,NONE
"
308",Climate Change is a Real Concern,thelibertyeagle oh love pete thought going incinerated semst,NONE
"
309",Climate Change is a Real Concern,complaining irrelevant problem illegal maybe could solve important issue itsjustaflag semst,NONE
"
310",Climate Change is a Real Concern,liberalaus folk owe official apology point absolute minimum peace transparency semst,NONE
"
311",Climate Change is a Real Concern,maybe start labelling every product made environmental footprint sooner later must act semst,FAVOR
"
312",Climate Change is a Real Concern,touch antarctica one reason research impact u would insane democracy goal semst,FAVOR
"
313",Climate Change is a Real Concern,wind power helped stabilize texas power grid cold snap suddenly increased demand climatehope climate semst,FAVOR
"
314",Climate Change is a Real Concern,cold windy sydney saw climate scientist fly past window auspol climatechangeisreal semst,FAVOR
"
315",Feminist Movement,feminist totally wear makeup tell otherwise choice semst,AGAINST
"
316",Feminist Movement,saw little girl wearing mustache vending machine equality semst,AGAINST
"
317",Feminist Movement,woman taught put value hymen rather intelligence accomplishment goal character semst,AGAINST
"
318",Feminist Movement,u link anti feminism misogyny inequality lover please dont reproduce world enough imbecile semst,AGAINST
"
319",Feminist Movement,feel thing truly equal marriage see jock strap tossed single woman wedding alongside garter semst,AGAINST
